vehicle_id,vehicle_tier,driver_name,route,speed_kmh,fuel_level_pct,fuel_efficiency_kmpl,engine_health_score,cargo_weight_kg,engine_rpm,speed_category,fuel_status,is_night_shift,is_anomaly,alert_severity
GT-028,MID,Umesh Kapoor,Mumbai-Pune,80.54,30.65,43.09,87.9,2303,2654,FAST,LOW,0,0,NONE
GT-011,OLD,Rajesh Kumar,Aurangabad-Kolhapur,75.8,54.93,18.02,74.4,8438,3422,FAST,NORMAL,1,0,NONE
GT-031,MID,Girish Patil,Mumbai-Nashik,71.27,53.64,26.77,89.6,1179,2831,FAST,NORMAL,0,0,NONE
GT-035,MID,Pradeep Nair,Mumbai-Nashik,101.05,70.01,58.44,91.8,9278,2634,OVERSPEEDING,NORMAL,1,1,WARNING
GT-024,MID,Deepak Tiwari,Pune-Nashik,93.77,76.55,30.06,82.2,1071,2627,OVERSPEEDING,NORMAL,1,0,NONE
GT-027,MID,Lokesh Verma,Nagpur-Aurangabad,107.41,52.16,43.95,81.6,7094,2655,OVERSPEEDING,NORMAL,1,1,WARNING
GT-033,MID,Arjun Verma,Mumbai-Nagpur,78.13,41.86,36.24,87.8,5189,2493,FAST,LOW,0,0,NONE
GT-020,MID,Sanjay Mishra,Pune-Kolhapur,38.74,52.26,25.74,84.3,5048,2864,MODERATE,NORMAL,0,0,NONE
GT-040,NEW,Rajesh Kumar,Pune-Solapur,48.56,94.69,32.46,94.7,572,1795,MODERATE,NORMAL,0,0,NONE
GT-022,MID,Harish Tomar,Mumbai-Goa,117.51,79.93,33.7,87.9,3770,1955,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-025,MID,Mahesh Iyer,Kolhapur-Mumbai,70.41,39.81,22.29,77.6,2330,2166,FAST,LOW,1,0,NONE
GT-020,MID,Bharat Sharma,Mumbai-Solapur,82.66,34.0,34.47,81.6,7274,2865,FAST,LOW,1,0,NONE
GT-031,MID,Ramesh Pandey,Mumbai-Nashik,58.5,37.91,24.52,80.5,4564,2683,MODERATE,LOW,0,0,NONE
GT-022,MID,Ganesh Rao,Goa-Pune,115.27,59.43,51.64,75.6,9731,2908,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-050,NEW,Ramesh Pandey,Goa-Pune,75.2,77.9,93.18,91.1,4510,1872,FAST,NORMAL,0,0,NONE
GT-030,MID,Ramesh Pandey,Pune-Nashik,71.57,74.71,42.45,89.0,2924,2474,FAST,NORMAL,1,0,NONE
GT-007,OLD,Harish Tomar,Nashik-Aurangabad,85.21,42.62,15.78,76.6,828,3463,FAST,LOW,1,0,NONE
GT-029,MID,Anil Dubey,Pune-Nagpur,83.07,46.09,34.67,83.8,9353,2576,FAST,LOW,1,0,NONE
GT-027,MID,Prem Chauhan,Pune-Nagpur,57.24,41.04,20.97,82.3,8789,2533,MODERATE,LOW,0,0,NONE
GT-016,OLD,Harish Tomar,Nagpur-Aurangabad,45.67,22.22,7.58,74.8,8369,3167,MODERATE,LOW,0,0,NONE
GT-032,MID,Anil Dubey,Pune-Kolhapur,57.4,65.09,19.1,76.4,5389,2738,MODERATE,NORMAL,0,0,NONE
GT-050,NEW,Santosh Joshi,Mumbai-Aurangabad,81.4,78.92,68.63,92.1,1041,1963,FAST,NORMAL,1,0,NONE
GT-025,MID,Ganesh Rao,Mumbai-Nagpur,116.3,33.42,34.98,89.9,9128,2056,OVERSPEEDING,LOW,1,1,CRITICAL
GT-021,MID,Ramesh Pandey,Pune-Solapur,40.55,52.12,25.58,81.7,3396,2464,MODERATE,NORMAL,0,0,NONE
GT-014,OLD,Ganesh Rao,Aurangabad-Kolhapur,36.97,32.35,6.18,71.2,3269,3239,MODERATE,LOW,0,0,NONE
GT-050,NEW,Deepak Tiwari,Pune-Nagpur,116.74,81.38,193.6,90.2,3755,2084,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-014,OLD,Lokesh Verma,Pune-Nashik,73.55,54.53,15.48,74.1,7416,2973,FAST,NORMAL,1,0,NONE
GT-038,NEW,Bharat Sharma,Pune-Solapur,81.66,70.56,41.81,91.3,9452,1456,FAST,NORMAL,0,0,NONE
GT-037,NEW,Prakash Nair,Mumbai-Goa,85.93,55.6,118.52,95.5,628,1201,FAST,NORMAL,1,0,NONE
GT-018,MID,Prem Chauhan,Pune-Nagpur,116.62,71.16,40.8,84.7,2911,2684,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-010,OLD,Umesh Kapoor,Goa-Pune,102.73,28.88,16.79,63.8,2716,4056,OVERSPEEDING,LOW,1,1,WARNING
GT-023,MID,Naresh Bhatia,Pune-Aurangabad,35.44,38.7,16.08,76.2,3508,2543,MODERATE,LOW,0,0,NONE
GT-025,MID,Dinesh Shukla,Aurangabad-Kolhapur,113.43,32.36,38.08,83.0,5474,2245,OVERSPEEDING,LOW,1,1,CRITICAL
GT-050,NEW,Naresh Bhatia,Goa-Pune,94.51,54.67,50.7,100.0,3553,1901,OVERSPEEDING,NORMAL,1,0,NONE
GT-017,OLD,Manoj Gupta,Nashik-Aurangabad,81.71,25.31,17.46,67.7,6635,3777,FAST,LOW,1,0,NONE
GT-010,OLD,Prem Chauhan,Pune-Aurangabad,32.36,32.58,7.96,70.7,1672,3306,MODERATE,LOW,0,0,NONE
GT-014,OLD,Anil Dubey,Pune-Nagpur,113.09,60.37,18.86,77.7,3303,3139,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-040,NEW,Vikram Sharma,Pune-Kolhapur,76.46,88.64,42.88,95.0,8664,1847,FAST,NORMAL,1,0,NONE
GT-012,OLD,Vinod Yadav,Goa-Pune,52.77,30.32,8.48,72.5,6055,2928,MODERATE,LOW,0,0,NONE
GT-018,MID,Arjun Verma,Nashik-Aurangabad,30.43,48.67,15.82,80.8,6481,2432,MODERATE,LOW,0,0,NONE
GT-035,MID,Prakash Nair,Nashik-Nagpur,70.56,72.71,23.5,92.3,9903,2600,FAST,NORMAL,1,0,NONE
GT-004,OLD,Girish Patil,Nagpur-Aurangabad,119.14,47.3,19.84,76.7,8698,3536,OVERSPEEDING,LOW,1,1,CRITICAL
GT-016,OLD,Rajesh Kumar,Nagpur-Aurangabad,78.02,32.99,12.94,79.8,9932,2985,FAST,LOW,0,0,NONE
GT-034,MID,Bharat Sharma,Pune-Nashik,92.4,43.17,40.58,82.0,7641,1996,OVERSPEEDING,LOW,1,0,NONE
GT-017,OLD,Ravi Patel,Pune-Aurangabad,73.32,18.8,19.65,77.1,8173,3278,FAST,CRITICAL,0,0,NONE
GT-008,OLD,Girish Patil,Mumbai-Goa,40.46,34.62,12.09,71.1,2589,3193,MODERATE,LOW,0,0,NONE
GT-016,OLD,Dinesh Shukla,Mumbai-Solapur,42.18,34.53,13.73,76.3,9342,3166,MODERATE,LOW,0,0,NONE
GT-032,MID,Anil Dubey,Pune-Aurangabad,99.63,67.4,50.78,77.9,5451,2910,OVERSPEEDING,NORMAL,1,0,NONE
GT-007,OLD,Navin Joshi,Goa-Pune,91.63,22.38,16.5,69.0,3446,3545,OVERSPEEDING,LOW,1,0,NONE
GT-001,OLD,Sanjay Mishra,Pune-Aurangabad,84.86,56.52,23.55,75.7,7812,2941,FAST,NORMAL,1,0,NONE
GT-040,NEW,Suresh Yadav,Mumbai-Pune,71.71,90.3,35.87,94.6,3531,1861,FAST,NORMAL,0,0,NONE
GT-041,NEW,Prem Chauhan,Mumbai-Nashik,107.94,75.62,207.98,98.2,4741,1288,OVERSPEEDING,NORMAL,1,1,WARNING
GT-020,MID,Prem Chauhan,Mumbai-Pune,80.11,58.72,50.23,83.3,5827,2651,FAST,NORMAL,1,0,NONE
GT-044,NEW,Amit Singh,Pune-Nashik,88.03,84.65,127.76,96.5,9423,1829,FAST,NORMAL,1,0,NONE
GT-003,OLD,Rajesh Kumar,Pune-Solapur,92.43,18.33,17.51,70.9,2717,3113,OVERSPEEDING,CRITICAL,1,0,NONE
GT-044,NEW,Rohit Chauhan,Nashik-Nagpur,41.02,90.19,20.53,93.0,3004,1682,MODERATE,NORMAL,0,0,NONE
GT-012,OLD,Manoj Gupta,Mumbai-Aurangabad,42.86,22.15,8.2,75.3,3718,3067,MODERATE,LOW,0,0,NONE
GT-015,OLD,Santosh Joshi,Pune-Kolhapur,73.7,39.11,16.17,73.0,2974,2930,FAST,LOW,0,0,NONE
GT-037,NEW,Manoj Gupta,Kolhapur-Mumbai,85.0,85.47,48.93,95.7,3800,1209,FAST,NORMAL,1,0,NONE
GT-022,MID,Satish Kumar,Aurangabad-Kolhapur,59.73,30.82,35.36,83.2,7318,2621,MODERATE,LOW,0,0,NONE
GT-016,OLD,Amit Singh,Mumbai-Goa,94.87,37.57,18.92,77.1,9551,3257,OVERSPEEDING,LOW,1,0,NONE
GT-013,OLD,Ganesh Rao,Mumbai-Nashik,79.14,42.74,15.71,78.3,5708,3220,FAST,LOW,0,0,NONE
GT-013,OLD,Anil Dubey,Pune-Nashik,33.5,47.15,7.93,77.5,9788,2725,MODERATE,LOW,0,0,NONE
GT-013,OLD,Mahesh Iyer,Nashik-Aurangabad,102.37,38.47,19.64,71.2,2350,3032,OVERSPEEDING,LOW,1,1,WARNING
GT-030,MID,Pradeep Nair,Mumbai-Solapur,43.95,71.61,19.29,87.9,8884,1952,MODERATE,NORMAL,0,0,NONE
GT-041,NEW,Pradeep Nair,Solapur-Nagpur,54.64,94.71,49.14,100.0,1540,896,MODERATE,NORMAL,0,0,NONE
GT-049,NEW,Sanjay Mishra,Nagpur-Aurangabad,48.77,86.14,31.26,95.7,6234,1476,MODERATE,NORMAL,0,0,NONE
GT-036,NEW,Naresh Bhatia,Pune-Solapur,61.66,60.94,122.58,96.4,5047,1487,FAST,NORMAL,0,0,NONE
GT-029,MID,Rajesh Kumar,Mumbai-Pune,100.63,54.65,47.96,83.8,4240,2721,OVERSPEEDING,NORMAL,1,1,WARNING
GT-038,NEW,Naresh Bhatia,Goa-Pune,48.52,92.92,46.39,98.1,8461,1165,MODERATE,NORMAL,0,0,NONE
GT-032,MID,Vikram Sharma,Aurangabad-Kolhapur,39.12,71.39,14.44,84.5,706,2725,MODERATE,NORMAL,0,0,NONE
GT-001,OLD,Naresh Bhatia,Mumbai-Pune,114.87,25.94,20.05,81.5,1291,2706,OVERSPEEDING,LOW,1,1,CRITICAL
GT-014,OLD,Suresh Yadav,Kolhapur-Mumbai,106.49,23.89,16.57,80.5,3216,2986,OVERSPEEDING,LOW,1,1,WARNING
GT-011,OLD,Santosh Joshi,Mumbai-Nagpur,33.55,39.91,6.09,80.5,4250,3244,MODERATE,LOW,0,0,NONE
GT-033,MID,Pradeep Nair,Nashik-Nagpur,73.56,60.44,30.79,79.7,1309,2487,FAST,NORMAL,0,0,NONE
GT-046,NEW,Manoj Gupta,Pune-Nagpur,91.57,81.03,108.88,99.0,3764,1833,OVERSPEEDING,NORMAL,1,0,NONE
GT-046,NEW,Sanjay Mishra,Solapur-Nagpur,69.02,92.22,67.14,96.4,9858,1479,FAST,NORMAL,0,0,NONE
GT-013,OLD,Umesh Kapoor,Nashik-Aurangabad,78.16,53.11,13.87,80.3,7647,2817,FAST,NORMAL,1,0,NONE
GT-010,OLD,Arjun Verma,Mumbai-Pune,62.06,41.18,14.3,73.3,9299,3772,FAST,LOW,0,0,NONE
GT-006,OLD,Santosh Joshi,Pune-Nashik,105.86,53.61,27.1,71.5,5020,3356,OVERSPEEDING,NORMAL,1,1,WARNING
GT-020,MID,Ganesh Rao,Mumbai-Goa,70.39,79.23,33.89,89.7,805,2596,FAST,NORMAL,0,0,NONE
GT-034,MID,Anil Dubey,Mumbai-Solapur,52.44,63.91,24.81,87.0,4115,2218,MODERATE,NORMAL,0,0,NONE
GT-028,MID,Satish Kumar,Mumbai-Pune,63.77,51.05,18.66,91.1,1120,2445,FAST,NORMAL,0,0,NONE
GT-005,OLD,Dinesh Shukla,Mumbai-Solapur,35.27,32.83,8.17,74.3,1214,3492,MODERATE,LOW,0,0,NONE
GT-006,OLD,Rohit Chauhan,Mumbai-Nashik,74.21,25.32,23.69,70.6,2162,3848,FAST,LOW,0,0,NONE
GT-002,OLD,Amit Singh,Mumbai-Pune,90.53,36.08,18.06,70.4,1692,3724,OVERSPEEDING,LOW,1,0,NONE
GT-043,NEW,Sanjay Mishra,Nashik-Nagpur,69.41,97.95,118.25,100.0,1467,1156,FAST,NORMAL,0,0,NONE
GT-046,NEW,Ravi Patel,Mumbai-Nashik,58.72,58.77,40.89,99.1,1964,1889,MODERATE,NORMAL,0,0,NONE
GT-011,OLD,Deepak Tiwari,Mumbai-Aurangabad,84.81,28.43,19.55,76.6,6502,3087,FAST,LOW,0,0,NONE
GT-040,NEW,Mukesh Singh,Mumbai-Solapur,88.92,86.82,108.84,96.7,1359,1865,FAST,NORMAL,1,0,NONE
GT-009,OLD,Dinesh Shukla,Mumbai-Pune,63.6,36.23,10.3,74.7,5127,3565,FAST,LOW,0,0,NONE
GT-028,MID,Girish Patil,Pune-Aurangabad,48.9,33.69,16.06,83.7,813,2547,MODERATE,LOW,0,0,NONE
GT-026,MID,Rakesh Gupta,Pune-Nashik,100.22,61.27,32.69,88.1,4656,1960,OVERSPEEDING,NORMAL,1,1,WARNING
GT-012,OLD,Satish Kumar,Pune-Nashik,55.52,29.45,8.82,82.1,6751,2799,MODERATE,LOW,0,0,NONE
GT-047,NEW,Vikram Sharma,Mumbai-Goa,80.88,55.0,146.52,99.5,7992,1633,FAST,NORMAL,0,0,NONE
GT-050,NEW,Ganesh Rao,Pune-Nagpur,108.49,54.21,97.83,94.9,721,1787,OVERSPEEDING,NORMAL,1,1,WARNING
GT-038,NEW,Rajesh Kumar,Pune-Aurangabad,116.92,74.08,66.93,98.8,8411,1244,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-037,NEW,Rajesh Kumar,Mumbai-Aurangabad,64.0,79.82,92.35,90.8,1570,1407,FAST,NORMAL,0,0,NONE
GT-001,OLD,Deepak Tiwari,Pune-Aurangabad,76.0,22.31,23.89,80.7,1001,2856,FAST,LOW,0,0,NONE
GT-003,OLD,Suresh Yadav,Mumbai-Nashik,36.46,21.94,9.11,67.2,9978,3085,MODERATE,LOW,0,0,NONE
GT-034,MID,Manoj Gupta,Pune-Kolhapur,106.67,65.69,42.2,88.7,4923,2186,OVERSPEEDING,NORMAL,1,1,WARNING
GT-016,OLD,Ravi Patel,Pune-Nagpur,61.86,38.32,13.7,66.2,5564,2874,FAST,LOW,0,0,NONE
GT-011,OLD,Umesh Kapoor,Nagpur-Aurangabad,62.58,15.97,15.2,74.4,6280,3050,FAST,CRITICAL,0,0,NONE
GT-049,NEW,Satish Kumar,Nashik-Nagpur,47.56,73.81,24.01,98.1,3253,1672,MODERATE,NORMAL,0,0,NONE
GT-010,OLD,Arjun Verma,Aurangabad-Kolhapur,102.9,54.73,16.71,72.7,3614,3671,OVERSPEEDING,NORMAL,1,1,WARNING
GT-049,NEW,Anil Dubey,Pune-Nashik,115.78,71.36,59.07,100.0,7192,1529,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-042,NEW,Satish Kumar,Pune-Aurangabad,82.12,64.3,90.84,99.7,4475,1143,FAST,NORMAL,0,0,NONE
GT-049,NEW,Naresh Bhatia,Nashik-Nagpur,38.21,53.2,31.79,100.0,7385,1295,MODERATE,NORMAL,0,0,NONE
GT-039,NEW,Pradeep Nair,Aurangabad-Kolhapur,91.18,57.15,161.95,99.7,9297,885,OVERSPEEDING,NORMAL,1,0,NONE
GT-039,NEW,Manoj Gupta,Pune-Nagpur,92.35,56.74,67.46,100.0,5632,734,OVERSPEEDING,NORMAL,1,0,NONE
GT-002,OLD,Satish Kumar,Solapur-Nagpur,72.08,29.32,12.06,68.1,2203,3191,FAST,LOW,0,0,NONE
GT-008,OLD,Ganesh Rao,Nashik-Aurangabad,46.49,59.5,9.6,70.3,4488,3003,MODERATE,NORMAL,0,0,NONE
GT-038,NEW,Mahesh Iyer,Mumbai-Nashik,63.71,83.36,50.52,100.0,2809,1123,FAST,NORMAL,0,0,NONE
GT-040,NEW,Dinesh Shukla,Nashik-Aurangabad,63.86,59.32,34.97,94.9,6697,1852,FAST,NORMAL,0,0,NONE
